Infra.Class,Order,Family,Common.name,Species,Synonym.,X2n
NEOGNATHAE,PROCELLARIIFORMES,Oceanitidae,Austral Storm Petrels,Oceanites oceanicus,Coturnix chinensis,70
NEOGNATHAE,PROCELLARIIFORMES,Hydrobatidae,Northern Storm Petrels,Oceanodroma leucorhoa,Coturnix chinensis,74
NEOGNATHAE,PROCELLARIIFORMES,Procellariidae,"Petrels, Shearwaters & Diving Petrels",Daption capense,Coturnix chinensis,80
NEOGNATHAE,PROCELLARIIFORMES,Procellariidae,"Petrels, Shearwaters & Diving Petrels",Macronectes giganteus,Coturnix chinensis,80
NEOGNATHAE,PODICIPEDIFORMES,Podicipedidae,Grebes,Podiceps auritus,Coturnix chinensis,80
NEOGNATHAE,PODICIPEDIFORMES,Podicipedidae,Grebes,Podiceps cristatus,Coturnix chinensis,78
NEOGNATHAE,PODICIPEDIFORMES,Podicipedidae,Grebes,Podiceps grisegena,Coturnix chinensis,80
NEOGNATHAE,PODICIPEDIFORMES,Podicipedidae,Grebes,Tachybaptus ruficollis,Coturnix chinensis,58
NEOGNATHAE,PHOENICOPTERIFORMES,Phoenicopteridae,Flamingos,Phoeniconaias minor,Coturnix chinensis,80
NEOGNATHAE,PHOENICOPTERIFORMES,Phoenicopteridae,Flamingos,Phoenicopterus ruber,Coturnix chinensis,80
NEOGNATHAE,PHOENICOPTERIFORMES,Phoenicopteridae,Flamingos,Phoenicopterus ruber chilensis,Coturnix chinensis,80
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Ciconia boyciana,Coturnix chinensis,68
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Ciconia ciconia,Coturnix chinensis,68
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Ciconia ciconia ciconia,Coturnix chinensis,72
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Ciconia episcopus,Coturnix chinensis,60
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Ciconia maguari,Euxenura maguari,72
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Ciconia nigra,Euxenura maguari,52
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Ciconia stormi,Euxenura maguari,68
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Ephippiorhynchus asiaticus,Xenorhynchus asiaticus,66
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Ephippiorhynchus senegalensis,Xenorhynchus asiaticus,66
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Jabiru mycteria,Xenorhynchus asiaticus,56
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Leptoptilos crumenifer,Xenorhynchus asiaticus,52
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Leptoptilos javanicus,Xenorhynchus asiaticus,70
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Mycteria americana,Xenorhynchus asiaticus,72
NEOGNATHAE,CICONIIFORMES,Ciconiidae,Storks,Mycteria cinerea,Xenorhynchus asiaticus,70
