"Order","Family","Genus","Species","femalediploidnumber","sexchromosome"
"Orthoptera","Acrididae","Pseudoscopas","Pseudoscopas sp. 6",24,"XO"
"Orthoptera","Acrididae","Pseudoscopas","Pseudoscopas sp. 7",24,"XO"
"Orthoptera","Acrididae","Pseudoscopas","Pseudoscopas sp. 8",24,"XO"
"Orthoptera","Acrididae","Psiloscirtus","Psiloscirtus bolivianus",24,"XO"
"Orthoptera","Acrididae","Psiloscirtus","Psiloscirtus olivaceus",24,"XO"
"Orthoptera","Acrididae","Psiloscirtus","Psiloscirtus sp. A",24,"XO"
"Orthoptera","Acrididae","Pycnosarcus","Pycnosarcus atavus",18,"XO"
"Orthoptera","Acrididae","Schistocerca","Schistocerca cancellata",24,"XO"
"Orthoptera","Acrididae","Schistocerca","Schistocerca flavofasciata",24,"XO"
"Orthoptera","Acrididae","Schistocerca","Schistocerca pallens",24,"XO"
"Orthoptera","Acrididae","Schistocerca","Schistocerca paraensis",24,"XO"
"Orthoptera","Acrididae","Schistocerca","Schistocerca sp.",24,"XO"
"Orthoptera","Acrididae","Scotussa","Scotussa cliens",22,"XO"
"Orthoptera","Acrididae","Scotussa","Scotussa delicatula",16,"XY"
"Orthoptera","Acrididae","Scotussa","Scotussa impudica",24,"XO"
"Orthoptera","Acrididae","Scotussa","Scotussa lemniscata",24,"XO"
"Orthoptera","Acrididae","Scotussa","Scotussa liebermanni",22,"XO"
"Orthoptera","Acrididae","Scotussa","Scotussa sp. 1",24,"XO"
"Orthoptera","Acrididae","Scyllina","Scyllina humilis",24,"XO"
"Orthoptera","Acrididae","Scyllina","Scyllina signatipennis",22,"XY"
"Orthoptera","Acrididae","Scyllina","Scyllina sp.",24,"XO"
"Orthoptera","Acrididae","Scyllinops","Scyllinops brunneri",24,"XO"
"Orthoptera","Acrididae","Scyllinops","Scyllinops pallida",24,"XO"
"Orthoptera","Acrididae","Scyllinops","Scyllinops sp. 1",24,"XO"
"Orthoptera","Acrididae","Scyllinops","Scyllinops sp. 2",24,"XO"
"Orthoptera","Acrididae","Silvitettix","Silvitettix concolor",24,"XO"
"Orthoptera","Acrididae","Sinipta","Sinipta acuta",24,"XO"
"Orthoptera","Acrididae","Sinipta","Sinipta dalmani",24,"XO"
"Orthoptera","Acrididae","Sinipta","Sinipta maldonadoi",24,"XO"
"Orthoptera","Acrididae","Sitalces","Sitalces dorsalis",24,"XO"
"Orthoptera","Acrididae","Sitalces","Sitalces infuscatus",24,"XO"
"Orthoptera","Acrididae","Sitalces","Sitalces volxemi",20,"XO"
"Orthoptera","Acrididae","Staurorhectus","Staurorhectus longicornis",24,"XO"
"Orthoptera","Acrididae","Stenopola","Stenopola bohlsii",24,"XO"
"Orthoptera","Acrididae","Stenopola","Stenopola boliviana",24,"XO"
"Orthoptera","Acrididae","Stenopola","Stenopola dorsalis",24,"XO"
"Orthoptera","Acrididae","Stenopola","Stenopola pallida",22,"XO"
"Orthoptera","Acrididae","Stenopola","Stenopola rubrifons",24,"XO"
"Orthoptera","Acrididae","Stereotettix","Stereotettix sp. 1",24,"XO"
"Orthoptera","Acrididae","Tetrataenia","Tetrataenia surinama",20,"XO"
"Orthoptera","Acrididae","Trimerotropis","Trimerotropis ochraceipennis",24,"XO"
"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pallidipennis",24,"XO"
"Orthoptera","Acrididae","Xiphiola","Xiphiola borellii",24,"XO"
